USN,SEMESTER,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS
1CR23IS075,6,BCS602,Machine Learning,0,,,BIS601,Full Stack Development,AB,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),0,,
1CR23IS076,6,BCS602,Machine Learning,10,,,BIS601,Full Stack Development,32,,,BIS613D ,CCS,38,,,BET654A,TRES(OE),50,,
1CR23IS077,6,BCS602,Machine Learning,49,,,BIS601,Full Stack Development,47,,,BIS613D ,CCS,43,,,BET654A,TRES(OE),50,,
1CR23IS078,6,BCS602,Machine Learning,17,,,BIS601,Full Stack Development,40,,,BIS613D ,CCS,35,,,BET654A,TRES(OE),47,,
1CR23IS079,6,BCS602,Machine Learning,42,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,37,,,BET654A,TRES(OE),45,,
1CR23IS080,6,BCS602,Machine Learning,43,,,BIS601,Full Stack Development,40,,,BIS613D ,CCS,42,,,BET654A,TRES(OE),49,,
1CR23IS081,6,BCS602,Machine Learning,32,,,BIS601,Full Stack Development,35,,,BIS613D ,CCS,33,,,BET654A,TRES(OE),42,,
1CR23IS082,6,BCS602,Machine Learning,32,,,BIS601,Full Stack Development,40,,,BIS613D ,CCS,41,,,BET654A,TRES(OE),50,,
1CR23IS083,6,BCS602,Machine Learning,26,,,BIS601,Full Stack Development,43,,,BIS613D ,CCS,36,,,BET654A,TRES(OE),41,,
1CR23IS084,6,BCS602,Machine Learning,0,,,BIS601,Full Stack Development,AB,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),0,,
1CR23IS085,6,BCS602,Machine Learning,40,,,BIS601,Full Stack Development,40,,,BIS613D ,CCS,43,,,BET654A,TRES(OE),50,,
1CR23IS086,6,BCS602,Machine Learning,35,,,BIS601,Full Stack Development,34,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),43,,
1CR23IS087,6,BCS602,Machine Learning,43,,,BIS601,Full Stack Development,40,,,BIS613D ,CCS,32,,,BET654A,TRES(OE),47,,
1CR23IS088,6,BCS602,Machine Learning,46,,,BIS601,Full Stack Development,47,,,BIS613D ,CCS,36,,,BET654A,TRES(OE),50,,
1CR23IS089,6,BCS602,Machine Learning,38,,,BIS601,Full Stack Development,42,,,BIS613D ,CCS,36,,,BET654A,TRES(OE),40,,
1CR23IS090,6,BCS602,Machine Learning,48,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,43,,,BET654A,TRES(OE),50,,
1CR23IS091,6,BCS602,Machine Learning,36,,,BIS601,Full Stack Development,44,,,BIS613D ,CCS,37,,,BET654A,TRES(OE),49,,
1CR23IS092,6,BCS602,Machine Learning,47,,,BIS601,Full Stack Development,50,,,BIS613D ,CCS,36,,,BET654A,TRES(OE),50,,
1CR23IS093,6,BCS602,Machine Learning,36,,,BIS601,Full Stack Development,AB,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),48,,
1CR23IS094,6,BCS602,Machine Learning,48,,,BIS601,Full Stack Development,46,,,BIS613D ,CCS,42,,,BET654A,TRES(OE),44,,
1CR23IS095,6,BCS602,Machine Learning,49,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,39,,,BET654A,TRES(OE),50,,
1CR23IS096,6,BCS602,Machine Learning,37,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,38,,,BET654A,TRES(OE),50,,
1CR23IS097,6,BCS602,Machine Learning,40,,,BIS601,Full Stack Development,40,,,BIS613D ,CCS,38,,,BET654A,TRES(OE),49,,
1CR23IS098,6,BCS602,Machine Learning,4,,,BIS601,Full Stack Development,6,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),34,,
1CR23IS099,6,BCS602,Machine Learning,35,,,BIS601,Full Stack Development,35,,,BIS613D ,CCS,32,,,BET654A,TRES(OE),47,,
1CR23IS101,6,BCS602,Machine Learning,41,,,BIS601,Full Stack Development,44,,,BIS613D ,CCS,41,,,BET654A,TRES(OE),48,,
1CR23IS102,6,BCS602,Machine Learning,0,,,BIS601,Full Stack Development,AB,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),0,,
1CR23IS103,6,BCS602,Machine Learning,24,,,BIS601,Full Stack Development,AB,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),35,,
1CR23IS104,6,BCS602,Machine Learning,18,,,BIS601,Full Stack Development,27,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),34,,
1CR23IS105,6,BCS602,Machine Learning,44,,,BIS601,Full Stack Development,50,,,BIS613D ,CCS,36,,,BET654A,TRES(OE),50,,
1CR23IS106,6,BCS602,Machine Learning,30,,,BIS601,Full Stack Development,46,,,BIS613D ,CCS,40,,,BET654A,TRES(OE),37,,
1CR23IS107,6,BCS602,Machine Learning,50,,,BIS601,Full Stack Development,50,,,BIS613D ,CCS,45,,,BET654A,TRES(OE),45,,
1CR23IS108,6,BCS602,Machine Learning,43,,,BIS601,Full Stack Development,37,,,BIS613D ,CCS,36,,,BET654A,TRES(OE),50,,
1CR23IS109,6,BCS602,Machine Learning,38,,,BIS601,Full Stack Development,38,,,BIS613D ,CCS,37,,,BET654A,TRES(OE),50,,
1CR23IS110,6,BCS602,Machine Learning,28,,,BIS601,Full Stack Development,46,,,BIS613D ,CCS,37,,,BET654A,TRES(OE),50,,
1CR23IS111,6,BCS602,Machine Learning,44,,,BIS601,Full Stack Development,40,,,BIS613D ,CCS,39,,,BET654A,TRES(OE),50,,
1CR23IS112,6,BCS602,Machine Learning,39,,,BIS601,Full Stack Development,37,,,BIS613D ,CCS,32,,,BET654A,TRES(OE),43,,
1CR23IS113,6,BCS602,Machine Learning,43,,,BIS601,Full Stack Development,AB,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),50,,
1CR23IS115,6,BCS602,Machine Learning,42,,,BIS601,Full Stack Development,23,,,BIS613D ,CCS,24,,,BET654A,TRES(OE),47,,
1CR23IS116,6,BCS602,Machine Learning,47,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,41,,,BET654A,TRES(OE),49,,
1CR23IS117,6,BCS602,Machine Learning,0,,,BIS601,Full Stack Development,AB,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),46,,
1CR23IS118,6,BCS602,Machine Learning,41,,,BIS601,Full Stack Development,44,,,BIS613D ,CCS,38,,,BET654A,TRES(OE),50,,
